NC_006088.5	2	5304	Super-Scaffold_21	3864	10024	+
NC_006088.5	21027	21262	Super-Scaffold_14	1462477	1462707	-
NC_006088.5	23452	23575	Super-Scaffold_26	792069	792182	-
NC_006088.5	23697	26555	Super-Scaffold_13	12969622	12971691	-
NC_006088.5	30412	30613	Super-Scaffold_13	35089318	35089515	-
NC_006088.5	31013	31290	Super-Scaffold_42	31246772	31247066	-
NC_006088.5	31902	32099	Super-Scaffold_48	10076836	10077035	-
NC_006088.5	39648	40873	Super-Scaffold_100000100064	277453	278980	-
NC_006088.5	41061	41247	Super-Scaffold_40	41182954	41183142	+
NC_006088.5	42063	42545	Super-Scaffold_28	19235052	19235548	+
NC_006088.5	43389	43552	Super-Scaffold_18	529577	529743	-
NC_006088.5	44717	47456	Super-Scaffold_13	41851196	41854403	+
NC_006088.5	48744	48961	Super-Scaffold_21	2773116	2773363	-
NC_006088.5	48978	49745	Super-Scaffold_40	51271314	51272658	-
NC_006088.5	51984	53576	Super-Scaffold_42	34739491	34741168	+
NC_006088.5	55429	57766	Super-Scaffold_2	72613507	72615644	-
NC_006088.5	58865	58932	Super-Scaffold_22	3807971	3808047	+
NC_006088.5	58932	59124	Super-Scaffold_33	1165910	1166107	+
NC_006088.5	59134	62444	Super-Scaffold_6	43706043	43707042	-
NC_006088.5	62444	62598	Super-Scaffold_27	26732381	26732536	+
NC_006088.5	62949	63135	Super-Scaffold_24	305861	306056	+
NC_006088.5	63700	63958	Super-Scaffold_2	88797264	88797542	+
NC_006088.5	64028	64427	Super-Scaffold_1000006	1421968	1422361	+
NC_006088.5	68251	71741	Super-Scaffold_24	256989	257861	+
NC_006088.5	71741	71907	Super-Scaffold_24	307991	308189	+
NC_006088.5	72091	74921	Super-Scaffold_24	312625	315123	+
NC_006088.5	77370	80118	Super-Scaffold_200000178	12147	13602	+
NC_006088.5	84793	86265	Super-Scaffold_2	86746767	86748706	-
NC_006088.5	86578	88252	Super-Scaffold_200000178	13734	15277	+
NC_006088.5	90859	91169	Super-Scaffold_24	33074	33410	-
NC_006088.5	109346	109858	Super-Scaffold_1	29355728	29356319	-
NC_006088.5	125386	127267	Super-Scaffold_34	1060541	1064159	-
NC_006088.5	129796	130948	Super-Scaffold_32	2570681	2573159	+
NC_006088.5	135572	135814	Super-Scaffold_29	8010865	8011126	-
NC_006088.5	172571	178630	Super-Scaffold_13	707515	714173	-
NC_006088.5	182842	182914	Super-Scaffold_13	35875678	35875750	+
NC_006088.5	184684	187025	Super-Scaffold_1000006	439054	440771	+
NC_006088.5	192840	193264	Super-Scaffold_13	35884495	35884962	+
NC_006088.5	195914	196111	Super-Scaffold_45	13452998	13453198	-
NC_006088.5	197554	197858	Super-Scaffold_39	14444413	14444715	+
NC_006088.5	210675	211557	Super-Scaffold_31	1181996	1182887	+
NC_006088.5	211557	214147	Super-Scaffold_23	3869314	3871807	+
NC_006088.5	216160	216434	Super-Scaffold_9	5185523	5185793	+
NC_006088.5	217193	217442	Super-Scaffold_29	4788994	4789234	-
NC_006088.5	218054	218216	Super-Scaffold_9	5528446	5528615	-
NC_006088.5	220015	221080	Super-Scaffold_21	3083445	3084529	+
NC_006088.5	226402	229234	Super-Scaffold_27	704204	707003	-
NC_006088.5	229377	229728	Super-Scaffold_15	82047	82424	+
